"ID","Status","Comment","Assertion"
"td-security-oauth2-client-flow-no-auth","pass","",
"td-security-oauth2-code-flow","pass","",
"td-security-oauth2-device-flow","pass","",
"td-security-overrides","pass","",
"td-security-scheme-name","pass","",
"td-security-schemes","pass","",
"td-security-uri-variables-distinct","pass","",
"td-string-type","pass","result of a merge",
"td-text-at-direction","pass","",
"td-title-description","pass","all children passed",
"td-title-description_descriptions","pass","",
"td-title-description_titles","pass","",
"td-titles-descriptions","pass","",
"td-uriVariables-dataschema","pass","",
"td-uriVariables-names","pass","",
"td-version","pass","",
"td-vocab-actions--Thing","pass","",
"td-vocab-additionalResponses--Form","pass","",
"td-vocab-alg--BearerSecurityScheme","pass","",
"td-vocab-allOf--ComboSecurityScheme","pass","",
"td-vocab-anchor--Link","pass","",
"td-vocab-at-context--Thing","pass","",
"td-vocab-at-type--DataSchema","pass","",
"td-vocab-at-type--InteractionAffordance","pass","",
"td-vocab-at-type--SecurityScheme","pass","",
"td-vocab-at-type--Thing","pass","",
"td-vocab-authorization--BearerSecurityScheme","pass","",
"td-vocab-authorization--OAuth2SecurityScheme","pass","",
"td-vocab-base--Thing","pass","",
"td-vocab-cancellation--EventAffordance","pass","",
"td-vocab-const--DataSchema","pass","",
"td-vocab-contentCoding--Form","pass","",
"td-vocab-contentEncoding--StringSchema","pass","",
"td-vocab-contentMediaType--StringSchema","pass","",
"td-vocab-contentType--AdditionalExpectedResponse","pass","",
"td-vocab-contentType--ExpectedResponse","pass","",
"td-vocab-contentType--Form","pass","",
"td-vocab-created--Thing","pass","",
"td-vocab-data--EventAffordance","pass","",
"td-vocab-dataResponse--EventAffordance","pass","",
"td-vocab-default--DataSchema","pass","",
"td-vocab-description--DataSchema","pass","",
"td-vocab-description--InteractionAffordance","pass","",
"td-vocab-description--SecurityScheme","pass","",
"td-vocab-description--Thing","pass","",
"td-vocab-descriptions--DataSchema","pass","",
"td-vocab-descriptions--InteractionAffordance","pass","",
"td-vocab-descriptions--SecurityScheme","pass","",
"td-vocab-descriptions--Thing","pass","",
"td-vocab-enum--DataSchema","pass","",
"td-vocab-events--Thing","pass","",
"td-vocab-exclusiveMaximum--IntegerSchema","pass","",
"td-vocab-exclusiveMaximum--NumberSchema","pass","",
"td-vocab-exclusiveMinimum--IntegerSchema","pass","",
"td-vocab-exclusiveMinimum--NumberSchema","pass","",
"td-vocab-flow--OAuth2SecurityScheme","pass","",
"td-vocab-format--BearerSecurityScheme","pass","",
"td-vocab-format--DataSchema","pass","",
"td-vocab-forms--InteractionAffordance","pass","",
"td-vocab-forms--Thing","pass","",
"td-vocab-href--Form","pass","result of a merge",
"td-vocab-href--Link","pass","",
"td-vocab-hreflang--Link","pass","",
"td-vocab-id--Thing","pass","",
"td-vocab-idempotent--ActionAffordance","pass","",
"td-vocab-identity--PSKSecurityScheme","pass","",
"td-vocab-in--APIKeySecurityScheme","pass","",
"td-vocab-in--BasicSecurityScheme","pass","",
"td-vocab-in--BearerSecurityScheme","pass","",
"td-vocab-in--DigestSecurityScheme","pass","",
"td-vocab-input--ActionAffordance","pass","",
"td-vocab-instance--VersionInfo","pass","",
"td-vocab-items--ArraySchema","pass","",
"td-vocab-links--Thing","pass","",
"td-vocab-maxItems--ArraySchema","pass","",
"td-vocab-maxLength--StringSchema","pass","",
"td-vocab-maximum--IntegerSchema","pass","",
"td-vocab-maximum--NumberSchema","pass","",
"td-vocab-minItems--ArraySchema","pass","",
"td-vocab-minLength--StringSchema","pass","",
"td-vocab-minimum--IntegerSchema","pass","",
"td-vocab-minimum--NumberSchema","pass","",
"td-vocab-model--VersionInfo","pass","",
"td-vocab-modified--Thing","pass","",
"td-vocab-multipleOf--IntegerSchema","pass","",
"td-vocab-multipleOf--NumberSchema","pass","",
"td-vocab-name--APIKeySecurityScheme","pass","",
"td-vocab-name--BasicSecurityScheme","pass","",
"td-vocab-name--BearerSecurityScheme","pass","",
"td-vocab-name--DigestSecurityScheme","pass","",
"td-vocab-observable--PropertyAffordance","pass","",
"td-vocab-oneOf--ComboSecurityScheme","pass","",
"td-vocab-oneOf--DataSchema","pass","",
"td-vocab-op--Form","pass","all children passed",
"td-vocab-op--Form_cancelaction","pass","",
"td-vocab-op--Form_invokeaction","pass","",
"td-vocab-op--Form_observeallproperties","pass","",
"td-vocab-op--Form_observeproperty","pass","",
"td-vocab-op--Form_queryaction","pass","",
"td-vocab-op--Form_queryallactions","pass","",
"td-vocab-op--Form_readallproperties","pass","",
"td-vocab-op--Form_readmultipleproperties","pass","",
"td-vocab-op--Form_readproperty","pass","",
"td-vocab-op--Form_subscribeallevents","pass","",
"td-vocab-op--Form_subscribeevent","pass","",
"td-vocab-op--Form_unobserveallproperties","pass","",
"td-vocab-op--Form_unobserveproperty","pass","",
"td-vocab-op--Form_unsubscribeallevents","pass","",
"td-vocab-op--Form_unsubscribeevent","pass","",
"td-vocab-op--Form_writeallproperties","pass","",
"td-vocab-op--Form_writemultipleproperties","pass","",
"td-vocab-op--Form_writeproperty","pass","",
"td-vocab-output--ActionAffordance","pass","",
"td-vocab-pattern--StringSchema","pass","",
"td-vocab-profile--Thing","pass","",
"td-vocab-properties--ObjectSchema","pass","",
"td-vocab-properties--Thing","pass","",
"td-vocab-proxy--SecurityScheme","pass","",
"td-vocab-qop--DigestSecurityScheme","pass","",
"td-vocab-readOnly--DataSchema","pass","",
"td-vocab-refresh--OAuth2SecurityScheme","pass","",
"td-vocab-rel--Link","pass","",
"td-vocab-required--ObjectSchema","pass","",
"td-vocab-response--Form","pass","",
"td-vocab-safe--ActionAffordance","pass","",
"td-vocab-schema--AdditionalExpectedResponse","pass","",
"td-vocab-schemaDefinitions--Thing","pass","",
"td-vocab-scheme--SecurityScheme","pass","all children passed",
"td-vocab-scheme--SecurityScheme_apikey","pass","",
"td-vocab-scheme--SecurityScheme_auto","pass","",
"td-vocab-scheme--SecurityScheme_basic","pass","",
"td-vocab-scheme--SecurityScheme_bearer","pass","",
"td-vocab-scheme--SecurityScheme_digest","pass","",
"td-vocab-scheme--SecurityScheme_nosec","pass","",
"td-vocab-scheme--SecurityScheme_oauth2","pass","",
"td-vocab-scheme--SecurityScheme_psk","pass","",
"td-vocab-scopes--Form","pass","",
"td-vocab-scopes--OAuth2SecurityScheme","pass","",
"td-vocab-security--Form","pass","",
"td-vocab-security--Thing","pass","result of a merge",
"td-vocab-securityDefinitions--Thing","pass","",
"td-vocab-sizes--Link","pass","",
"td-vocab-subprotocol--Form","pass","",
"td-vocab-subscription--EventAffordance","pass","",
"td-vocab-success--AdditionalExpectedResponse","pass","",
"td-vocab-support--Thing","pass","",
"td-vocab-synchronous--ActionAffordance","pass","",
"td-vocab-title--DataSchema","pass","",
"td-vocab-title--InteractionAffordance","pass","",
"td-vocab-title--Thing","pass","",
"td-vocab-titles--DataSchema","pass","",
"td-vocab-titles--InteractionAffordance","pass","",
"td-vocab-titles--Thing","pass","",
"td-vocab-token--OAuth2SecurityScheme","pass","",
"td-vocab-type--DataSchema","pass","all children passed",
"td-vocab-type--DataSchema_array","pass","",
"td-vocab-type--DataSchema_boolean","pass","",
"td-vocab-type--DataSchema_integer","pass","",
"td-vocab-type--DataSchema_null","pass","",
"td-vocab-type--DataSchema_number","pass","",
"td-vocab-type--DataSchema_object","pass","",
"td-vocab-type--DataSchema_string","pass","",
"td-vocab-type--Link","pass","",
"td-vocab-unit--DataSchema","pass","",
"td-vocab-uriVariables--InteractionAffordance","pass","",
"td-vocab-uriVariables--Thing","pass","",
"td-vocab-version--Thing","pass","",
"td-vocab-writeOnly--DataSchema","pass","",
"thing-model-td-generation-processor-imports","pass","",
"thing-model-td-generation-processor-optional","pass","",
"thing-model-td-generation-processor-type","pass","",
"tm-compose-name-collision","pass","",
"tm-rel-type-maximum","pass","",
"well-known-operation-types-only","pass","result of a merge",
"bindings-requirements-scheme","null","not testable with Assertion Tester",
"bindings-server-accept","null","not testable with Assertion Tester",
"client-data-schema","null","not testable with Assertion Tester",
"client-data-schema-accept-extras","null","not testable with Assertion Tester",
"client-data-schema-no-extras","null","not testable with Assertion Tester",
"client-uri-template","null","not testable with Assertion Tester",
"sec-body-name-json-pointer-creatable","null","not testable with Assertion Tester",
"server-data-schema","null","not testable with Assertion Tester",
"server-data-schema-extras","null","not testable with Assertion Tester",
"server-uri-template","null","not testable with Assertion Tester",
"td-context-default-language-direction-independence","null","not testable with Assertion Tester",
"td-default-alg","null","not testable with Assertion Tester",
"td-default-contentType","null","not testable with Assertion Tester",
"td-default-format","null","not testable with Assertion Tester",
"td-default-http-method","null","a child is not tested",
"td-default-http-method_get","null","not testable with Assertion Tester",
"td-default-http-method_post","null","not testable with Assertion Tester",
"td-default-http-method_put","null","not testable with Assertion Tester",
"td-default-idempotent","null","not testable with Assertion Tester",
"td-default-in-apikey","null","not testable with Assertion Tester",
"td-default-in-basic","null","not testable with Assertion Tester",
"td-default-in-bearer","null","not testable with Assertion Tester",
"td-default-in-digest","null","not testable with Assertion Tester",
"td-default-op-actions","null","not testable with Assertion Tester",
"td-default-op-events","null","not testable with Assertion Tester",
"td-default-op-properties","null","not testable with Assertion Tester",
"td-default-qop","null","not testable with Assertion Tester",
"td-default-readOnly","null","not testable with Assertion Tester",
"td-default-safe","null","not testable with Assertion Tester",
"td-default-success","null","not testable with Assertion Tester",
"td-default-writeOnly","null","not testable with Assertion Tester",
"td-expectedResponse-default-contentType","null","not testable with Assertion Tester",
"td-form-protocolbindings","null","not testable with Assertion Tester",
"td-format-validation-other-values","null","not testable with Assertion Tester",
"td-json-open_accept-byte-order","null","not testable with Assertion Tester",
"td-json-open_no-byte-order","null","not testable with Assertion Tester",
"td-ns-multilanguage-content-negotiation","null","not testable with Assertion Tester",
"td-ns-multilanguage-content-negotiation-no-multi","null","not testable with Assertion Tester",
